Player Name ,ODI Year : Run,Total Carrier Runs
Abdullah Mazari,"year 2010: Run 3
",3
Afsar Zazai,"year 2014: Run 139
year 2015: Run 103
year 2017: Run 22
",264
Aftab Alam,"year 2010: Run 6
year 2014: Run 1
year 2015: Run 18
year 2018: Run 36
year 2019: Run 5
",66
Ahmed Shah,"year 2009: Run 2
",2
Amir Hamza,"year 2012: Run 3
year 2013: Run -
year 2014: Run 1
year 2015: Run 6
year 2016: Run 4
year 2017: Run 9
",23
Asghar Afghan,"year 2009: Run 62
year 2010: Run 284
year 2011: Run 20
year 2012: Run 98
year 2013: Run 47
year 2014: Run 267
year 2015: Run 250
year 2016: Run 174
year 2017: Run 357
year 2018: Run 228
year 2019: Run 291
",2078
Dawlat Ahmadzai,"year 2009: Run -
year 2010: Run -
",-
Dawlat Zadran,"year 2011: Run 0
year 2012: Run 36
year 2013: Run -
year 2014: Run 92
year 2015: Run 89
year 2016: Run 73
year 2017: Run 98
year 2018: Run 112
year 2019: Run 2
",502
Fareed Ahmad,"year 2014: Run -
year 2017: Run 1
",1
Gulbadin Naib,"year 2011: Run 0
year 2012: Run 49
year 2013: Run 21
year 2014: Run 82
year 2015: Run 0
year 2016: Run 84
year 2017: Run 225
year 2018: Run 296
year 2019: Run 73
",830
Hamid Hassan,"year 2009: Run 0
year 2010: Run 41
year 2011: Run 1
year 2013: Run -
year 2014: Run 6
year 2015: Run 38
year 2016: Run 6
year 2019: Run -
",92
Hashmatullah Shahidi,"year 2013: Run 13
year 2014: Run 67
year 2016: Run 152
year 2017: Run 90
year 2018: Run 353
year 2019: Run 190
",865
Hasti Gul,"year 2009: Run 23*
",23
Hazratullah Zazai,"year 2018: Run 14
year 2019: Run 67
",183
Ihsanullah,"year 2017: Run 30
year 2018: Run 277
",307
Ikram Ali Khil,"year 2019: Run 5*
",6
Izatullah Dawlatzai,"year 2010: Run 6
year 2012: Run 1
year 2015: Run 0
",7
Javed Ahmadi,"year 2010: Run 67
year 2012: Run 72
year 2014: Run 131
year 2015: Run 286
year 2016: Run 90
year 2017: Run 175
year 2018: Run 104
year 2019: Run 46
",971
Karim Janat,"year 2017: Run 9
",9
Karim Sadiq,"year 2009: Run 20
year 2010: Run 235
year 2011: Run 35
year 2012: Run 168
year 2013: Run -
year 2014: Run 12
year 2016: Run 5
",475
Khaliq Dad,"year 2009: Run 0
year 2010: Run 20
",40
Mirwais Ashraf,"year 2009: Run 17
year 2010: Run 44
year 2011: Run 10
year 2012: Run 12
year 2013: Run -
year 2014: Run 129
year 2015: Run 105
year 2016: Run 70
",387
Mohammad Nabi,"year 2009: Run 74
year 2010: Run 250
year 2011: Run 105
year 2012: Run 129
year 2013: Run 97
year 2014: Run 403
year 2015: Run 374
year 2016: Run 253
year 2017: Run 287
year 2018: Run 463
year 2019: Run 157
",2592
Mohammad Shahzad,"year 2009: Run 126
year 2010: Run 517
year 2011: Run 9
year 2012: Run 91
year 2013: Run 101
year 2014: Run 40
year 2015: Run 312
year 2016: Run 453
year 2017: Run 252
year 2018: Run 607
year 2019: Run 212
",2720
Mohibullah Oryakhel,"year 2013: Run -
",-
Mujeeb Ur Rahman,"year 2017: Run 4
year 2018: Run 36
year 2019: Run 1
",41
Najeeb Tarakai,"year 2017: Run 5
",5
Najibullah Zadran,"year 2012: Run 23
year 2014: Run 38
year 2015: Run 308
year 2016: Run 276
year 2017: Run 59
year 2018: Run 373
year 2019: Run 193
",1270
Nasir Jamal,"year 2014: Run 67
year 2015: Run 77
year 2017: Run 96
year 2018: Run 112
",352
Naveen-ul-Haq,"year 2016: Run 0*
",0
Nawroz Mangal,"year 2009: Run 66
year 2010: Run 270
year 2011: Run 48
year 2012: Run 56
year 2013: Run 213
year 2014: Run 307
year 2015: Run 134
year 2016: Run 45
",1139
Noor-ul-Haq,"year 2010: Run 12
",12
Noor Ali Zadran,"year 2009: Run 94
year 2010: Run 267
year 2011: Run 1
year 2012: Run 9
year 2014: Run 223
year 2015: Run 296
year 2016: Run 51
year 2017: Run 198
year 2019: Run 14
",1153
Raees Ahmadzai,"year 2009: Run 39
year 2010: Run 37
",88
Rahmat Shah,"year 2013: Run 38
year 2014: Run 61
year 2016: Run 341
year 2017: Run 551
year 2018: Run 722
year 2019: Run 288
",2001
Rashid Khan,"year 2015: Run 36
year 2016: Run 215
year 2017: Run 243
year 2018: Run 182
year 2019: Run 122
",798
Rokhan Barakzai,"year 2015: Run -
",-
Samiullah Shinwari,"year 2009: Run 118
year 2010: Run 167
year 2011: Run 15
year 2012: Run 76
year 2013: Run 85
year 2014: Run 497
year 2015: Run 383
year 2016: Run 51
year 2017: Run 210
year 2018: Run 131
year 2019: Run 4
",1737
Sayed Shirzad,"year 2019: Run -
",-
Shabir Noori,"year 2010: Run 74
year 2011: Run 95
year 2012: Run 13
year 2016: Run 9
",191
Shafiqullah,"year 2009: Run -
year 2010: Run 0
year 2014: Run 179
year 2015: Run 75
year 2016: Run 2
year 2017: Run 163
year 2018: Run 11
",430
Shapoor Zadran,"year 2009: Run 1
year 2010: Run 17
year 2012: Run 3
year 2013: Run -
year 2014: Run 20
year 2015: Run 17
year 2016: Run 2
year 2017: Run 0
year 2018: Run 7
year 2019: Run -
",67
Sharafuddin Ashraf,"year 2014: Run 18
year 2018: Run 35
year 2019: Run -
",53
Usman Ghani,"year 2014: Run 316
year 2015: Run 92
year 2017: Run 3
",411
Yamin Ahmadzai,"year 2015: Run 0
year 2016: Run 3*
",3
Zahir Khan,"year 2019: Run -
",-
Zakiullah Zaki,"year 2012: Run 3*
",3
SA Abbott,"year 2014: Run 3
",3
AC Agar,"year 2015: Run 5
year 2017: Run 9
year 2018: Run 130
",144
TM Alderman,"year 1981: Run 10
year 1982: Run 2
year 1984: Run 7
year 1985: Run 8
year 1988: Run 0
year 1989: Run 0
year 1990: Run 5
year 1991: Run -
",32
J Angel,"year 1994: Run 0
year 1995: Run -
",0
GJ Bailey,"year 2012: Run 441
year 2013: Run 1098
year 2014: Run 406
year 2015: Run 291
year 2016: Run 808
",3044
GR Beard,"year 1981: Run -
",-
JP Behrendorff,"year 2019: Run 6*
",7
MJ Bennett,"year 1984: Run -
year 1985: Run 6*
",9
MG Bevan,"year 1994: Run 432
year 1995: Run 94
year 1996: Run 760
year 1997: Run 728
year 1998: Run 959
year 1999: Run 949
year 2000: Run 881
year 2001: Run 581
year 2002: Run 466
year 2003: Run 784
year 2004: Run 278
",6912
AJ Bichel,"year 1997: Run 42
year 1998: Run 57
year 2002: Run 92
year 2003: Run 243
year 2004: Run 37
",471
GA Bishop,"year 1987: Run 7
",13
GS Blewett,"year 1995: Run 111
year 1996: Run 81
year 1997: Run 282
year 1999: Run 77
",551
SM Boland,"year 2016: Run 4
",9
DE Bollinger,"year 2009: Run 0
year 2010: Run 4
year 2011: Run 46
",50
DC Boon,"year 1984: Run 39
year 1985: Run 264
year 1986: Run 768
year 1987: Run 656
year 1988: Run 582
year 1989: Run 327
year 1990: Run 417
year 1991: Run 326
year 1992: Run 798
year 1993: Run 417
year 1994: Run 1073
year 1995: Run 297
",5964
AR Border,"year 1979: Run 200
year 1980: Run 219
year 1981: Run 454
year 1982: Run 346
year 1983: Run 428
year 1984: Run 438
year 1985: Run 830
year 1986: Run 595
year 1987: Run 642
year 1988: Run 212
year 1989: Run 533
year 1990: Run 540
year 1991: Run 329
year 1992: Run 212
year 1993: Run 221
year 1994: Run 325
",6524
NW Bracken,"year 2001: Run -
year 2003: Run 7
year 2005: Run 24
year 2006: Run 72
year 2007: Run 44
year 2008: Run 17
year 2009: Run 35
",199
RJ Bright,"year 1974: Run -
year 1977: Run 17
year 1979: Run 20
year 1980: Run 5
year 1981: Run 18
year 1986: Run 6
",66
JA Burns,"year 2015: Run 69
",146
IW Callen,"year 1978: Run 6
year 1982: Run 0
",6
GD Campbell,"year 1989: Run -
year 1990: Run 4*
",6
RJ Campbell,"year 2002: Run 38
",54
AT Carey,"year 2018: Run 47
year 2019: Run 55
",429
PH Carlson,"year 1979: Run 11
",11
HWR Cartwright,"year 2017: Run 1
",2
GS Chappell,"year 1971: Run 22
year 1972: Run 101
year 1974: Run 117
year 1975: Run 232
year 1977: Run 174
year 1979: Run 273
year 1980: Run 346
year 1981: Run 454
year 1982: Run 338
year 1983: Run 274
",2331
IM Chappell,"year 1971: Run 60
year 1972: Run 87
year 1974: Run 169
year 1975: Run 226
year 1979: Run 123
year 1980: Run 8
",673
TM Chappell,"year 1980: Run 32
year 1981: Run 58
year 1983: Run 139
",229
DT Christian,"year 2012: Run 250
year 2014: Run 23
",273
SR Clark,"year 2005: Run -
year 2006: Run 42
year 2007: Run 17
year 2008: Run 8
year 2009: Run 2
",69
WM Clark,"year 1978: Run -
",-
MJ Clarke,"year 2003: Run 327
year 2004: Run 615
year 2005: Run 954
year 2006: Run 729
year 2007: Run 981
year 2008: Run 471
year 2009: Run 868
year 2010: Run 777
year 2011: Run 900
year 2012: Run 656
year 2013: Run 303
year 2014: Run 181
year 2015: Run 219
",7981
DJ Colley,"year 1972: Run -
",-
AN Connolly,"year 1971: Run -
",-
